Employee Name,Department,Position,Leave Type,Start Date,End Date,Days Taken,Total Leave Entitlement,Leave Taken So Far,Remaining Leaves,month
Richard Miller,Marketing,Marketing Specialist,Paternity Leave,2024-03-16,2024-03-23,8,30,15,7,Mar
Kyle Martinez,Operations,Logistics Coordinator,Maternity Leave,2024-04-18,2024-04-18,1,22,17,4,Apr
Thomas Preston,Marketing,Marketing Specialist,Casual Leave,2024-04-11,2024-04-15,5,28,12,11,Apr
Shawn Baker,HR,HR Manager,Casual Leave,2024-05-10,2024-05-15,6,28,6,16,May
Juan Foster,Finance,Accountant,Sick Leave,2024-05-05,2024-05-11,7,21,5,9,May
Nicholas Thompson,Finance,Accountant,Sick Leave,2024-05-11,2024-05-12,2,23,4,17,May
Shannon Lowe,HR,Recruiter,Sick Leave,2024-02-04,2024-02-05,2,21,17,2,Feb
Tiffany Cabrera,HR,Recruiter,Earned Leave,2024-08-19,2024-08-25,7,22,2,13,Aug
Benjamin Wood,HR,HR Manager,Sick Leave,2024-11-16,2024-11-23,8,24,2,14,Nov
Alexandra Campbell,IT,System Administrator,Maternity Leave,2024-12-08,2024-12-13,6,20,1,13,Dec
Andrew Mendez,Finance,Financial Analyst,Earned Leave,2024-03-05,2024-03-13,9,22,1,12,Mar
Francisco Hamilton,Marketing,SEO Analyst,Casual Leave,2024-04-12,2024-04-20,9,21,5,7,Apr
Eric Bates,Operations,Logistics Coordinator,Sick Leave,2024-06-30,2024-07-07,8,25,15,2,Jun
Jared Douglas,Operations,Logistics Coordinator,Sick Leave,2023-12-27,2024-01-03,8,26,9,9,Dec
Katie Stewart,HR,HR Manager,Sick Leave,2024-05-30,2024-06-01,3,26,3,20,May
Shannon Hanson,IT,System Administrator,Sick Leave,2024-09-04,2024-09-11,8,21,7,6,Sep
Patricia Simon,Operations,Operations Manager,Paternity Leave,2024-10-16,2024-10-17,2,29,1,26,Oct
Rhonda Gilbert,Finance,Financial Analyst,Paternity Leave,2024-03-21,2024-03-24,4,29,2,23,Mar
Shane Mcguire,Finance,Financial Analyst,Casual Leave,2024-02-04,2024-02-12,9,30,12,9,Feb
Jennifer Wiggins,Operations,Operations Manager,Paternity Leave,2024-07-27,2024-08-04,9,27,7,11,Jul
William Farrell,Operations,Logistics Coordinator,Earned Leave,2024-09-26,2024-10-04,9,30,20,1,Sep
Elizabeth Johnson,Marketing,SEO Analyst,Earned Leave,2024-04-22,2024-05-01,10,21,11,0,Apr
Amanda Thompson,HR,Recruiter,Earned Leave,2024-01-31,2024-02-06,7,27,13,7,Jan
Kristopher Estrada,Finance,Accountant,Earned Leave,2024-01-02,2024-01-02,1,22,7,14,Jan
Molly Vang,IT,System Administrator,Sick Leave,2024-04-20,2024-04-21,2,28,15,11,Apr
Brett Dickerson,HR,Recruiter,Maternity Leave,2024-08-19,2024-08-19,1,26,15,10,Aug
Leslie Henry,IT,Software Engineer,Earned Leave,2024-12-08,2024-12-16,9,22,5,8,Dec
William Abbott,HR,HR Manager,Paternity Leave,2024-07-23,2024-07-26,4,21,17,0,Jul
Randall Medina,Marketing,Marketing Specialist,Paternity Leave,2024-01-26,2024-02-01,7,23,15,1,Jan
Matthew Newman,Finance,Financial Analyst,Sick Leave,2024-05-06,2024-05-15,10,20,3,7,May
Annette Coleman,HR,Recruiter,Sick Leave,2024-01-09,2024-01-15,7,28,4,17,Jan
Natasha Garcia,HR,Recruiter,Paternity Leave,2024-09-25,2024-10-01,7,24,13,4,Sep
Lisa Rasmussen,Marketing,SEO Analyst,Maternity Leave,2024-11-27,2024-11-29,3,30,15,12,Nov
Jamie Moreno,IT,Software Engineer,Paternity Leave,2024-06-22,2024-07-01,10,30,16,4,Jun
Traci Frye,HR,Recruiter,Earned Leave,2024-04-11,2024-04-13,3,20,1,16,Apr
Rachel Branch,Finance,Accountant,Sick Leave,2024-04-14,2024-04-22,9,22,0,13,Apr
Ashley Norton,Marketing,SEO Analyst,Maternity Leave,2024-02-01,2024-02-02,2,28,19,7,Feb
